curie	label	clinical_drug_form	rxcui
DRON:00034390	nitroglycerin 5 MG Oral Capsule	DRON:00027497	102341
DRON:00034391	nitroglycerin 10 MG Oral Capsule	DRON:00027497	102342
DRON:00034392	bamethan 12.5 MG Oral Tablet	DRON:00020885	102346
DRON:00034393	moxisylyte 5 MG/ML Injectable Solution	DRON:00026985	102351
DRON:00034394	moxisylyte 15 MG/ML Injectable Solution	DRON:00026985	102352
DRON:00034395	cyclandelate 400 MG Oral Tablet	DRON:00021458	102353
DRON:00034396	cyclandelate 80 MG/ML Oral Suspension	DRON:00028583	102354
DRON:00034397	Isoxsuprine 40 MG Extended Release Capsule	DRON:00026981	102358
DRON:00034398	Heparin 10 UNT/ML Irrigation Solution	DRON:00027437	102366
DRON:00034399	ethamsylate 250 MG Oral Tablet	DRON:00021834	102371
DRON:00034400	dextrothyroxine 2 MG Oral Tablet	DRON:00021560	102376
DRON:00034401	reproterol 20 MG Oral Tablet	DRON:00026982	102391
DRON:00034402	reproterol 10 MG/ML Inhalant Solution	DRON:00025888	102393
DRON:00034403	isoetharine 10 MG Extended Release Oral Tablet	DRON:00026983	102398
DRON:00034404	aminophylline 50 MG Rectal Suppository	DRON:00026638	102402
DRON:00034405	aminophylline 100 MG Rectal Suppository	DRON:00026638	102403
DRON:00034406	aminophylline 150 MG Rectal Suppository	DRON:00026638	102404
DRON:00034407	aminophylline 180 MG Rectal Suppository	DRON:00026638	102405
DRON:00034408	aminophylline 360 MG Rectal Suppository	DRON:00026638	102406
DRON:00034409	oxtriphylline 424 MG Extended Release Oral Tablet	DRON:00022800	102409
DRON:00034410	diphenylpyraline 2.5 MG Extended Release Oral Capsule	DRON:00021672	102448
DRON:00034411	diphenylpyraline 5 MG Extended Release Oral Tablet	DRON:00026984	102449
DRON:00034412	heroin 0.6 MG/ML Oral Solution	DRON:00027762	102492
DRON:00034413	noscapine 3 MG/ML Oral Solution	DRON:00027763	102494
DRON:00034414	ketazolam 15 MG Oral Capsule	DRON:00022199	102535
DRON:00034415	ketazolam 30 MG Oral Capsule	DRON:00022199	102536
DRON:00034416	medazepam 10 MG Oral Capsule	DRON:00026976	102537
DRON:00034417	amobarbital 60 MG Oral Tablet	DRON:00020784	102541
DRON:00034418	amobarbital 200 MG Oral Tablet	DRON:00020784	102542
DRON:00034419	chlorprothixene 15 MG Oral Tablet	DRON:00021300	102544
DRON:00034420	chlorprothixene 50 MG Oral Tablet	DRON:00021300	102545
DRON:00034421	lithium carbonate 104 MG/ML Oral Solution	DRON:00027653	102547
DRON:00034422	iprindole 30 MG Oral Tablet	DRON:00026979	102553
DRON:00034423	iproniazid 25 MG Oral Tablet	DRON:00026980	102557
DRON:00034424	iproniazid 50 MG Oral Tablet	DRON:00026980	102558
DRON:00034425	dextroamphetamine 7.5 MG Extended Release Oral Capsule	DRON:00021541	102569
DRON:00034426	dextroamphetamine 12.5 MG Extended Release Oral Capsule	DRON:00021541	102570
DRON:00034427	dextroamphetamine 20 MG Extended Release Oral Capsule	DRON:00021541	102571
DRON:00034428	methylcellulose 400 MG Oral Tablet	DRON:00022484	102574
DRON:00034429	karaya gum 0.55 MG/MG Oral Granules	DRON:00025646	102575
DRON:00034430	scopolamine 0.6 MG Oral Tablet	DRON:00023352	102579
DRON:00034431	thiethylperazine 6.33 MG Oral Tablet	DRON:00023580	102593
DRON:00034432	thiethylperazine 6.5 MG/ML Injectable Solution	DRON:00023578	102594
DRON:00034433	thiethylperazine 6.5 MG Rectal Suppository	DRON:00023579	102595
DRON:00034434	aspirin 600 MG Delayed Release Oral Tablet	DRON:00020842	102603
DRON:00034435	dextromoramide 5 MG/ML Injectable Solution	DRON:00026989	102651
DRON:00034436	dextromoramide 10 MG/ML Injectable Solution	DRON:00026989	102652
DRON:00034437	Levorphanol 1.5 MG Oral Tablet	DRON:00022259	102657
DRON:00034438	meperidine 25 MG Oral Tablet	DRON:00022402	102658
DRON:00034439	beclamide 500 MG Oral Tablet	DRON:00027617	102663
DRON:00034440	methionine 250 MG Oral Tablet	DRON:00022462	102679
DRON:00034441	penicillin G benzathine 115 MG/ML Oral Solution	DRON:00022864	102692
DRON:00034442	phenethicillin 250 MG Oral Capsule	DRON:00026986	102695
DRON:00034443	penicillin V 125 MG Oral Capsule	DRON:00022869	102697
DRON:00034444	penicillin V 125 MG Oral Granules	DRON:00026987	102699
DRON:00034445	pivampicillin 32.4 MG/ML Oral Suspension	DRON:00025179	102734
DRON:00034446	talampicillin 250 MG Oral Tablet	DRON:00026994	102738
DRON:00034447	clomocycline 170 MG Oral Capsule	DRON:00026988	102759
DRON:00034448	lymecycline 204 MG Oral Capsule	DRON:00022315	102761
DRON:00034449	Gentamicin Sulfate (USP) 60 MG/ML Injectable Solution	DRON:00022009	102769
DRON:00034450	gentamicin 5 MG/ML Injectable Solution	DRON:00022009	102770
DRON:00034451	framycetin 250 MG Oral Tablet	DRON:00027438	102776
DRON:00034452	calcium sulfaloxate 500 MG Oral Tablet	DRON:00027439	102793
DRON:00034453	phthalylsulfathiazole 500 MG Oral Tablet	DRON:00027440	102794
DRON:00034454	sulfadimethoxine 500 MG Oral Tablet	DRON:00027441	102797
DRON:00034455	sulfamethazine 333 MG/ML Injectable Solution	DRON:00027442	102798
DRON:00034456	sulfamethazine 100 MG/ML Oral Suspension	DRON:00027443	102799
DRON:00034457	sulfaguanidine 500 MG Oral Tablet	DRON:00027444	102800
DRON:00034458	sulfanilylurea 500 MG Oral Tablet	DRON:00027445	102801
DRON:00034459	cycloserine 125 MG Oral Capsule	DRON:00021466	102803
DRON:00034460	tinidazole 2 MG/ML Injectable Solution	DRON:00026996	102809
DRON:00034461	amodiaquine 200 MG Oral Tablet	DRON:00024799	102820
DRON:00034462	pyrimethamine 12.5 MG Oral Tablet	DRON:00023249	102822
DRON:00034463	piperazine 500 MG Oral Tablet	DRON:00023044	102828
DRON:00034464	glibornuride 25 MG Oral Tablet	DRON:00026990	102847
DRON:00034465	glymidine 500 MG Oral Tablet	DRON:00026991	102850
DRON:00034466	guar gum 25 MG/ML Oral Suspension	DRON:00024393	102851
DRON:00034467	diazoxide 50 MG Oral Tablet	DRON:00026992	102853
DRON:00034468	prednisolone 16 MG/ML Injectable Solution	DRON:00023137	102859
DRON:00034469	estriol 0.25 MG Oral Tablet	DRON:00021826	102862
DRON:00034470	quinestradol 0.25 MG Oral Tablet	DRON:00026993	102863
DRON:00034471	quinestrol 4 MG Oral Tablet	DRON:00023262	102864
DRON:00034472	progesterone 10 MG/ML Injectable Solution	DRON:00023852	102868
DRON:00034473	methyltestosterone 5 MG Oral Tablet	DRON:00022503	102879
DRON:00034474	methyltestosterone 50 MG Oral Tablet	DRON:00022503	102880
DRON:00034475	stanozolol 50 MG/ML Injectable Solution	DRON:00026999	102894
DRON:00034476	corticotropin 20 UNT/ML Injectable Solution	DRON:00021436	102895
DRON:00034477	corticotropin 60 UNT/ML Injectable Solution	DRON:00021436	102896
DRON:00034478	Thyrotropin-Releasing Hormone 40 MG Oral Tablet	DRON:00027082	102902
DRON:00034479	Thyrotropin 5 UNT/ML Injectable Solution	DRON:00025203	102903
DRON:00034480	Natamycin 25 MG Vaginal Tablet	DRON:00026997	102920
DRON:00034481	nonoxynol-9 50 MG/ML Vaginal Cream	DRON:00026318	102931
DRON:00034482	emepronium 100 MG Oral Tablet	DRON:00021750	102933
DRON:00034483	terodiline 12.5 MG Oral Tablet	DRON:00026998	102939
DRON:00034484	ethoglucid 1130 MG/ML Injectable Solution	DRON:00027656	102950
DRON:00034485	Cisplatin 25 MG/ML Injectable Solution	DRON:00025299	102968
DRON:00034486	dromostanolone 100 MG/ML Injectable Solution	DRON:00027657	102978
DRON:00034487	ferrous glycine sulfate 565 MG Oral Tablet	DRON:00027446	102984
DRON:00034488	Ferrous glycine sulfate 562 MG Extended Release Tablet	DRON:00025446	102985
DRON:00034489	ferrous glycine sulfate 225 MG Oral Tablet	DRON:00027446	102986
DRON:00034490	ferrous sulfate 116 MG/ML Oral Solution	DRON:00021918	102988
DRON:00034491	hydroxocobalamin 0.25 MG/ML Injectable Solution	DRON:00022117	103010
DRON:00034492	Vitamin B 12 0.05 MG/ML Injectable Solution	DRON:00021451	103015
DRON:00034493	vitamin B12 0.5 MG/ML Injectable Solution	DRON:00021451	103016
DRON:00034494	calcium lactate 600 MG Oral Tablet	DRON:00021099	103069
DRON:00034495	gold sodium thiomalate 2 MG/ML Injectable Solution	DRON:00025223	103167
DRON:00034496	colchicine 0.25 MG Oral Tablet	DRON:00021429	103168
DRON:00034497	pyridostigmine 1 MG/ML Injectable Solution	DRON:00023244	103170
DRON:00034498	chymotrypsin 50000 UNT Oral Tablet	DRON:00024772	103174
DRON:00034499	chymotrypsin 100000 UNT Oral Tablet	DRON:00024772	103175
DRON:00034500	chymotrypsin 10 MG Delayed Release Oral Tablet	DRON:00024771	103176
DRON:00034501	lachesine 10 MG/ML Ophthalmic Solution	DRON:00025978	103232
DRON:00034502	epinephrine 5 MG/ML / guanethidine 50 MG/ML Ophthalmic Solution	DRON:00025979	103238
DRON:00034503	epinephrine 10 MG/ML / guanethidine 50 MG/ML Ophthalmic Solution	DRON:00025979	103239
DRON:00034504	sodium chloride 0.154 MEQ/ML Ophthalmic Irrigation Solution	DRON:00020343	103253
DRON:00034505	prednisolone 5 MG/ML Otic Solution	DRON:00025981	103264
DRON:00034506	clioquinol 10 MG/ML Otic Solution	DRON:00025982	103265
DRON:00034507	Gentamicin Sulfate (USP) 3 MG/ML / Hydrocortisone 10 MG/ML Otic Suspension	DRON:00027773	103270
DRON:00034508	neomycin 5 MG/ML Otic Solution	DRON:00025984	103273
DRON:00034509	Tetracycline 0.01 MG/MG Otic Ointment	DRON:00027655	103274
DRON:00034510	Betamethasone 1 MG/ML Nasal Solution	DRON:00025985	103286
DRON:00034511	polynoxylin 30 MG Oral Lozenge	DRON:00027658	103318
DRON:00034512	dimethicone 100 MG/ML Topical Cream	DRON:00026225	103358
DRON:00034513	hydrocortisone 1.25 MG/ML Topical Cream	DRON:00026253	103397
DRON:00034514	hydrocortisone 0.025 MG/MG Topical Ointment	DRON:00022100	103401
DRON:00034515	hydrocortisone 10 MG/ML Topical Lotion	DRON:00026254	103403
DRON:00034516	fluocinonide 0.5 MG/ML Topical Cream	DRON:00026845	103456
DRON:00034517	fluocinonide 0.0005 MG/MG Topical Ointment	DRON:00021948	103457
DRON:00034518	fluocortolone 2 MG/ML Topical Cream	DRON:00027743	103459
DRON:00034519	fluocortolone 0.002 MG/MG Topical Ointment	DRON:00027744	103460
DRON:00034520	fluocortolone caproate 2.5 MG/ML / fluocortolone pivalate 2.5 MG/ML Topical Cream	DRON:00027743	103461
DRON:00034521	fluocortolone caproate 0.0025 MG/MG / fluocortolone pivalate 0.0025 MG/MG Topical Ointment	DRON:00027744	103462
DRON:00034522	halcinonide 1 MG/ML Topical Cream	DRON:00026248	103467
DRON:00034523	coal tar 100 MG/ML Topical Solution	DRON:00020331	103474
DRON:00034524	erythromycin 20 MG/ML Topical Lotion	DRON:00027660	103518
DRON:00034525	salicylic acid 20 MG/ML Topical Lotion	DRON:00026342	103568
DRON:00034526	nitrofurazone 0.002 MG/MG Topical Ointment	DRON:00023856	103572
DRON:00034527	chlorhexidine 0.005 MG/MG Topical Powder	DRON:00025337	103638
DRON:00034528	hydrogen peroxide 270 MG/ML Topical Solution	DRON:00022110	103665
DRON:00034529	thiopental 250 MG/ML Injectable Solution	DRON:00025601	103739
DRON:00034530	alfentanil 0.1 MG/ML Injectable Solution	DRON:00020503	103746
DRON:00034531	papaveretum 10 MG Oral Tablet	DRON:00027710	103753
DRON:00034532	carteolol 10 MG Oral Tablet	DRON:00021153	103781
DRON:00034533	Rauwolfia alkaloids 2 MG Oral Tablet	DRON:00027650	103806
DRON:00034534	minocycline 0.02 MG/MG Oral Gel	DRON:00027720	103823
DRON:00034535	levamisole 50 MG Oral Tablet	DRON:00022245	103835
DRON:00034536	Nonoxynol-9 0.06 MG/MG Vaginal Suppository	DRON:00023973	103841
DRON:00034537	Levonorgestrel 36 MG Drug Implant	DRON:00027058	103854
DRON:00034538	acyclovir 80 MG/ML Oral Suspension	DRON:00020701	103859
DRON:00034539	aspirin 150 MG Rectal Suppository	DRON:00020556	103863
DRON:00034540	metronidazole 0.25 MG/MG Oral Gel	DRON:00026489	103867
DRON:00034541	tenoxicam 10 MG/ML Injectable Solution	DRON:00023512	103894
DRON:00034542	papaveretum 15.4 MG/ML Injectable Solution	DRON:00020340	103897
DRON:00034543	ketoprofen 150 MG Extended Release Oral Capsule	DRON:00022205	103903
DRON:00034544	carbamazepine 125 MG Rectal Suppository	DRON:00021121	103941
DRON:00034545	carbamazepine 250 MG Rectal Suppository	DRON:00021121	103942
DRON:00034546	tolnaftate 10 MG/ML Topical Cream	DRON:00026360	103951
DRON:00034547	aspirin 75 MG Delayed Release Oral Tablet	DRON:00020842	103954
DRON:00034548	lamotrigine 100 MG Disintegrating Oral Tablet	DRON:00022234	103968
DRON:00034549	Albuterol 0.1 MG/ACTUAT / Ipratropium 0.02 MG/ACTUAT Inhalant Solution	DRON:00025898	103987
DRON:00034550	magnesium hydroxide 83 MG/ML Oral Suspension	DRON:00020407	104015
DRON:00034551	sodium bicarbonate 300 MG Oral Tablet	DRON:00023402	104019
DRON:00034552	sodium bicarbonate 600 MG Oral Tablet	DRON:00023402	104020
DRON:00034553	sodium bicarbonate 500 MG Oral Capsule	DRON:00027310	104021
DRON:00034554	hydrotalcite 500 MG Chewable Tablet	DRON:00022113	104022
DRON:00034555	hydrotalcite 100 MG/ML Oral Suspension	DRON:00022114	104023
DRON:00034556	aluminum hydroxide 600 MG / magnesium hydroxide 300 MG Oral Tablet	DRON:00020740	104024
DRON:00034557	dimethicone 8 MG/ML / pipenzolate 0.8 MG/ML Oral Suspension	DRON:00027297	104047
DRON:00034558	pipenzolate 5 MG Oral Tablet	DRON:00027298	104048
DRON:00034559	poldine 4 MG Oral Tablet	DRON:00023073	104051
DRON:00034560	alverine 60 MG Oral Capsule	DRON:00025085	104055
DRON:00034561	Cimetidine 2 MG/ML Oral Solution	DRON:00021334	104072
DRON:00034562	mesalamine 10 MG/ML Enema	DRON:00022421	104113
DRON:00034563	sulfasalazine 50 MG/ML Oral Suspension	DRON:00023478	104121
DRON:00034564	sulfasalazine 30 MG/ML Enema	DRON:00023476	104122
DRON:00034565	karaya gum 620 MG/ML Oral Solution	DRON:00025653	104135
DRON:00034566	picosulfate sodium 0.0667 MG/ML Oral Solution	DRON:00023422	104143
DRON:00034567	lactulose 670 MG/ML Oral Solution	DRON:00026595	104148
DRON:00034568	glycerin 2000 MG Rectal Suppository	DRON:00022040	104155
DRON:00034569	glycerin 4000 MG Rectal Suppository	DRON:00022040	104156
DRON:00034570	oxyphenisatin 50 MG Enema	DRON:00027288	104160
DRON:00034571	sodium phosphate, monobasic 1720 MG Rectal Suppository	DRON:00027632	104161
DRON:00034572	magnesium sulfate 500 MG/ML Enema	DRON:00027448	104163
DRON:00034573	2 ML digoxin 0.25 MG/ML Injection	DRON:00021610	104208
DRON:00034574	lanatoside C 0.25 MG Oral Tablet	DRON:00022236	104210
DRON:00034575	mefruside 25 MG Oral Tablet	DRON:00022384	104213
DRON:00034576	xipamide 20 MG Oral Tablet	DRON:00025213	104214
DRON:00034577	furosemide 4 MG/ML Oral Solution	DRON:00021995	104220
DRON:00034578	bumetanide 5 MG Oral Tablet	DRON:00021040	104222
DRON:00034579	bumetanide 0.5 MG/ML Injectable Solution	DRON:00023813	104223
DRON:00034580	piretanide 6 MG Extended Release Oral Capsule	DRON:00027290	104225
DRON:00034581	canrenone 20 MG/ML Injectable Solution	DRON:00028084	104226
DRON:00034582	spironolactone 1 MG/ML Oral Suspension	DRON:00027291	104230
DRON:00034583	spironolactone 2 MG/ML Oral Suspension	DRON:00027291	104231
DRON:00034584	spironolactone 5 MG/ML Oral Suspension	DRON:00027291	104232
DRON:00034585	spironolactone 10 MG/ML Oral Suspension	DRON:00027291	104233
DRON:00034586	spironolactone 100 MG Oral Capsule	DRON:00023434	104234
DRON:00034587	benzthiazide 25 MG / triamterene 50 MG Oral Capsule	DRON:00023660	104245
DRON:00034588	chlorthalidone 25 MG / triamterene 50 MG Oral Tablet	DRON:00025206	104246
DRON:00034589	chlorthalidone 50 MG / triamterene 50 MG Oral Tablet	DRON:00025206	104248
DRON:00034590	bumetanide 0.5 MG / potassium 7.7 MMOL Extended Release Oral Tablet	DRON:00027675	104263
DRON:00034591	bendroflumethiazide 2.5 MG / potassium 7.7 MMOL Extended Release Oral Tablet	DRON:00027676	104264
DRON:00034592	furosemide 40 MG / potassium 8 MMOL Extended Release Oral Tablet	DRON:00027677	104265
DRON:00034593	furosemide 20 MG / potassium 10 MMOL Extended Release Oral Tablet	DRON:00027677	104266
DRON:00034594	bendroflumethiazide 2.5 MG / potassium 8.4 MMOL Extended Release Oral Tablet	DRON:00027676	104267
DRON:00034595	disopyramide 250 MG Extended Release Oral Capsule	DRON:00021694	104285
DRON:00034596	atenolol 0.5 MG/ML Injectable Solution	DRON:00020861	104308
DRON:00034597	chlorthalidone 12.5 MG / metoprolol 100 MG Oral Tablet	DRON:00027293	104332
DRON:00034598	hydrochlorothiazide 25 MG / sotalol 160 MG Oral Tablet	DRON:00027294	104338
DRON:00034599	hydrochlorothiazide 12.5 MG / sotalol 80 MG Oral Tablet	DRON:00027294	104340
DRON:00034600	methyldopa 250 MG Oral Capsule	DRON:00025155	104357
DRON:00034601	captopril 25 MG / hydrochlorothiazide 12.5 MG Oral Tablet	DRON:00021116	104370
DRON:00034602	isosorbide mononitrate 25 MG Extended Release Oral Capsule	DRON:00031133	104402
DRON:00034603	pentaerythritol 30 MG Oral Tablet	DRON:00022872	104403
DRON:00034604	flosequinan 100 MG Oral Tablet	DRON:00021930	104421
DRON:00034605	flosequinan 50 MG Oral Tablet	DRON:00021930	104422
DRON:00034606	isosorbide dinitrate 20 MG Extended Release Oral Capsule	DRON:00027511	104426
DRON:00034607	isosorbide dinitrate 0.5 MG/ML Injectable Solution	DRON:00027513	104427
DRON:00034608	isosorbide dinitrate 1.25 MG/ACTUAT Oral Spray	DRON:00027514	104428
DRON:00034609	isosorbide dinitrate 1 MG/ML Injectable Solution	DRON:00027513	104429
DRON:00034610	cinnarizine 75 MG Oral Capsule	DRON:00021338	104433
DRON:00034611	nicofuranose 250 MG Delayed Release Oral Tablet	DRON:00027714	104435
DRON:00034612	inositol 500 MG Oral Capsule	DRON:00022160	104436
DRON:00034613	moxisylyte 40 MG Oral Tablet	DRON:00027661	104438
DRON:00034614	oxerutins 250 MG Oral Capsule	DRON:00027662	104441
DRON:00034615	nafronyl 20 MG/ML Injectable Solution	DRON:00027715	104443
DRON:00034616	Norepinephrine 0.2 MG/ML Injectable Solution	DRON:00022725	104455
DRON:00034617	phenindione 25 MG Oral Tablet	DRON:00022905	104468
DRON:00034618	phenindione 50 MG Oral Tablet	DRON:00022905	104469
DRON:00034619	aspirin 75 MG Oral Tablet	DRON:00020557	104474
DRON:00034620	aspirin 75 MG Disintegrating Oral Tablet	DRON:00027430	104475
DRON:00034621	ethamsylate 500 MG Oral Tablet	DRON:00021834	104480
DRON:00034622	tranexamic acid 500 MG Oral Tablet	DRON:00023647	104481
DRON:00034623	ciprofibrate 100 MG Oral Tablet	DRON:00021344	104494
DRON:00034624	albuterol 0.4 MG Inhalation Powder	DRON:00020707	104514
DRON:00034625	Fenoterol 5 MG/ML Inhalant Solution	DRON:00025879	104524
DRON:00034626	pirbuterol 10 MG Oral Capsule	DRON:00027716	104527
DRON:00034627	pirbuterol 15 MG Oral Capsule	DRON:00027716	104528
DRON:00034628	bambuterol 10 MG Oral Tablet	DRON:00020884	104535
DRON:00034629	bambuterol 20 MG Oral Tablet	DRON:00020884	104536
DRON:00034630	theophylline 12 MG/ML Oral Solution	DRON:00023558	104553
DRON:00034631	Beclomethasone 0.168 MG/ACTUAT Inhalant Solution	DRON:00025875	104568
DRON:00034632	Albuterol 0.1 MG/ACTUAT / Cromolyn 1 MG/ACTUAT Inhalant Solution	DRON:00027522	104582
DRON:00034633	dimethindene 2.5 MG Extended Release Oral Tablet	DRON:00027718	104593
DRON:00034634	mequitazine 5 MG Oral Tablet	DRON:00022416	104596
DRON:00034635	oxatomide 30 MG Oral Tablet	DRON:00022783	104597
DRON:00034636	ethamivan 50 MG/ML Injectable Solution	DRON:00027346	104616
DRON:00034637	mecysteine 100 MG Oral Tablet	DRON:00027665	104623
DRON:00034638	compound benzoin tincture (USP) 45 MG/ML Gas for Inhalation	DRON:00027731	104625
DRON:00034639	chloral hydrate 414 MG Oral Tablet	DRON:00031134	104680
DRON:00034640	flunitrazepam 1 MG Oral Tablet	DRON:00021946	104683
DRON:00034641	temazepam 20 MG Oral Tablet	DRON:00023511	104693
DRON:00034642	triclofos 100 MG/ML Oral Solution	DRON:00023666	104697
DRON:00034643	diazepam 10 MG Rectal Suppository	DRON:00021568	104706
DRON:00034644	bromazepam 1.5 MG Oral Tablet	DRON:00021004	104707
DRON:00034645	medazepam 5 MG Oral Capsule	DRON:00026976	104721
DRON:00034646	cyclobarbital 200 MG Oral Tablet	DRON:00026977	104727
DRON:00034647	droperidol 10 MG Oral Tablet	DRON:00021726	104734
DRON:00034648	oxypertine 10 MG Oral Capsule	DRON:00026978	104742
DRON:00034649	oxypertine 40 MG Oral Tablet	DRON:00022812	104743
DRON:00034650	periciazine 2.5 MG Oral Tablet	DRON:00026736	104744
DRON:00034651	periciazine 10 MG Oral Tablet	DRON:00026736	104745
DRON:00034652	periciazine 25 MG Oral Tablet	DRON:00026736	104746
DRON:00034653	pimozide 4 MG Oral Tablet	DRON:00023033	104748
DRON:00034654	trifluoperazine 2 MG Extended Release Oral Capsule	DRON:00027669	104762
DRON:00034655	trifluoperazine 10 MG Extended Release Oral Capsule	DRON:00027669	104763
DRON:00034656	trifluoperazine 15 MG Extended Release Oral Capsule	DRON:00027669	104764
DRON:00034657	flupenthixol 200 MG/ML Injectable Solution	DRON:00021959	104788
DRON:00034658	Fluspirilene 2 MG/ML Inhalant Solution	DRON:00027712	104793
DRON:00034659	amitriptyline 75 MG Extended Release Oral Capsule	DRON:00020776	104801
DRON:00034660	amitriptyline 2 MG/ML Oral Suspension	DRON:00027498	104802
DRON:00034661	iprindole 15 MG Oral Tablet	DRON:00026979	104816
DRON:00034662	isocarboxazid 10 MG Oral Tablet	DRON:00020641	104837
DRON:00034663	fluvoxamine 50 MG Delayed Release Oral Tablet	DRON:00027713	104847
DRON:00034664	fluvoxamine 100 MG Delayed Release Oral Tablet	DRON:00027713	104848
DRON:00034665	pemoline 20 MG Oral Tablet	DRON:00022854	104855
DRON:00034666	betahistine 8 MG Oral Tablet	DRON:00020941	104865
DRON:00034667	cinnarizine 15 MG Oral Tablet	DRON:00021340	104867
DRON:00034668	domperidone 30 MG Rectal Suppository	DRON:00027673	104871
DRON:00034669	72 HR scopolamine 0.00694 MG/HR Transdermal System	DRON:00026909	104873
DRON:00034670	metoclopramide 1 MG/ML Oral Solution	DRON:00022513	104884
DRON:00034671	ondansetron 4 MG Disintegrating Oral Tablet	DRON:00022762	104894
DRON:00034672	aspirin 300 MG Delayed Release Oral Tablet	DRON:00020842	104899
DRON:00034673	acetaminophen 24 MG/ML Oral Solution	DRON:00020467	104906
DRON:00034674	acetaminophen 500 MG / methionine 250 MG Oral Tablet	DRON:00027674	104908
DRON:00034675	aspirin 400 MG / codeine 8 MG Oral Tablet	DRON:00020845	104914
DRON:00034676	cyclizine 30 MG / dipipanone 10 MG Oral Tablet	DRON:00025128	104972
DRON:00034677	phenazocine 5 MG Oral Tablet	DRON:00027542	104980
DRON:00034678	mephobarbital 30 MG Oral Tablet	DRON:00022406	105005
DRON:00034679	piracetam 800 MG Oral Tablet	DRON:00023051	105020
DRON:00034680	piracetam 333 MG/ML Oral Solution	DRON:00023050	105021
DRON:00034681	diazepam 5 MG/ML Injectable Suspension	DRON:00027510	105032
DRON:00034682	levodopa 125 MG Oral Capsule	DRON:00022252	105034
DRON:00034683	methixene 5 MG Oral Tablet	DRON:00027558	105058
DRON:00034684	lofexidine 0.2 MG Oral Tablet	DRON:00022288	105076
DRON:00034685	penicillin G 375 MG/ML Injectable Solution	DRON:00022863	105078
DRON:00034686	floxacillin 167 MG/ML Injectable Solution	DRON:00026606	105099
DRON:00034687	floxacillin 250 MG/ML Injectable Solution	DRON:00026606	105100
DRON:00034688	floxacillin 400 MG/ML Injectable Solution	DRON:00026606	105101
DRON:00034689	ampicillin 167 MG/ML / floxacillin 167 MG/ML Injectable Solution	DRON:00026607	105134
DRON:00034690	ampicillin 250 MG / cloxacillin 250 MG Oral Capsule	DRON:00020812	105138
DRON:00034691	amdinocillin pivoxil 100 MG / pivampicillin 125 MG Oral Tablet	DRON:00027654	105148
DRON:00034692	amdinocillin pivoxil 200 MG / pivampicillin 250 MG Oral Tablet	DRON:00027654	105149
DRON:00034693	pivampicillin 500 MG Oral Tablet	DRON:00023067	105150
DRON:00034694	amoxicillin 750 MG Oral Suspension	DRON:00020531	105151
DRON:00034695	amoxicillin 60 MG/ML Oral Suspension	DRON:00020531	105152
DRON:00034696	amoxicillin 375 MG Disintegrating Oral Tablet	DRON:00027523	105153
DRON:00034697	amoxicillin 750 MG Disintegrating Oral Tablet	DRON:00027523	105154
DRON:00034698	carbenicillin 500 MG Oral Tablet	DRON:00021128	105162
