curie	label	clinical_drug	rxcui
DRON:00068960	Hydrocortisone 2 MG/ML Topical Cream [Westcort]	DRON:00035601	94592
DRON:00068961	Hydrocortisone 0.002 MG/MG Topical Ointment [Westcort]	DRON:00035602	94593
DRON:00068962	hydrotalcite 100 MG/ML Oral Suspension [Altacite]	DRON:00034555	102111
DRON:00068963	glycopyrrolate 2 MG Oral Tablet [Robinul]	DRON:00035585	102166
DRON:00068964	alginic acid 50 MG/ML / cimetidine 20 MG/ML Oral Suspension [Algitec]	DRON:00053776	102182
DRON:00068965	bran 2000 MG Oral Tablet [Fybranta]	DRON:00053777	102196
DRON:00068966	methylcellulose 500 MG Oral Tablet [Cellucon]	DRON:00036244	102202
DRON:00068967	methylcellulose 90 MG/ML Oral Solution [Cologel]	DRON:00038543	102203
DRON:00068968	bisacodyl 2.74 MG/ML Enema [Dulcolax]	DRON:00053778	102232
DRON:00068969	hydrocortisone 1.67 MG/ML Enema [Cortenema]	DRON:00045145	102250
DRON:00068970	chenodeoxycholate 250 MG Oral Capsule [Chenocedon]	DRON:00054790	102260
DRON:00068971	dicobalt edetate 15 MG/ML Injectable Solution [Kelocyanor]	DRON:00035064	102273
DRON:00068972	digitoxin 1 MG/ML Oral Solution [Digitaline Nativelle]	DRON:00053779	102276
DRON:00068973	ouabain 0.25 MG/ML Injectable Solution [Ouabaine Arnaud]	DRON:00049056	102277
DRON:00068974	bumetanide 1 MG Oral Tablet [Burinex]	DRON:00035355	102278
DRON:00068975	bretylium 50 MG/ML Injectable Solution [Bretylate]	DRON:00037719	102292
DRON:00068976	Phenytoin sodium 50 MG/ML Injectable Solution [Epanutin Ready Mixed Parenteral]	DRON:00058728	102298
DRON:00068977	quinidine 250 MG Extended Release Oral Capsule [Kiditard]	DRON:00034384	102300
DRON:00068978	tocainide 600 MG Oral Tablet [Tonocard]	DRON:00035936	102303
DRON:00068979	tocainide 50 MG/ML Injectable Solution [Tonocard]	DRON:00034385	102304
DRON:00068980	Acebutolol 5 MG/ML Injectable Solution [Sectral]	DRON:00042044	102306
DRON:00068981	metoprolol 190 MG Oral Tablet [Metoros]	DRON:00035065	102314
DRON:00068982	metoprolol 95 MG Oral Tablet [Metoros]	DRON:00035066	102315
DRON:00068983	reserpine 0.1 MG Oral Tablet [Serpasil]	DRON:00035854	102317
DRON:00068984	reserpine 0.25 MG Oral Tablet [Serpasil]	DRON:00035855	102318
DRON:00068985	Rauwolfia alkaloids 2 MG Oral Tablet [Rauwiloid]	DRON:00034533	102321
DRON:00068986	debrisoquin 20 MG Oral Tablet [Declinax]	DRON:00040507	102326
DRON:00068987	isosorbide dinitrate 5 MG Oral Tablet [Isoket]	DRON:00046497	102334
DRON:00068988	pentaerythritol tetranitrate 30 MG Extended Release Oral Capsule [Cardiacap]	DRON:00045708	102335
DRON:00068989	nifedipine 5 MG Oral Capsule [Calcipine]	DRON:00036650	102337
DRON:00068990	nifedipine 10 MG Oral Capsule [Calcipine]	DRON:00035759	102338
DRON:00068991	prenylamine 60 MG Oral Tablet [Synadrin]	DRON:00034389	102339
DRON:00068992	inositol 750 MG Oral Tablet [Hexopal Forte]	DRON:00053780	102347
DRON:00068993	moxisylyte 5 MG/ML Injectable Solution [Opilon]	DRON:00034393	102349
DRON:00068994	moxisylyte 15 MG/ML Injectable Solution [Opilon]	DRON:00034394	102350
DRON:00068995	Isoxsuprine 40 MG Extended Release Capsule [Defencin CP]	DRON:00034397	102355
DRON:00068996	synephrine 60 MG/ML Injectable Solution [Sympatol]	DRON:00053781	102365
DRON:00068997	ethamsylate 500 MG/ML Injectable Solution [Dicynone]	DRON:00049243	102370
DRON:00068998	albuterol 2 MG Oral Tablet [Ventolin]	DRON:00035302	102377
DRON:00068999	albuterol 4 MG Oral Tablet [Ventolin]	DRON:00035303	102378
DRON:00069000	albuterol 2 MG Oral Tablet [Salbulin]	DRON:00035302	102379
DRON:00069001	albuterol 4 MG Oral Tablet [Salbulin]	DRON:00035303	102380
DRON:00069002	albuterol 1 MG/ML Oral Solution [Salbulin]	DRON:00053782	102381
DRON:00069003	Albuterol 1 MG/ML Inhalant Solution [Salbuvent]	DRON:00039126	102385
DRON:00069004	reproterol 20 MG Oral Tablet [Bronchodil]	DRON:00034401	102388
DRON:00069005	reproterol 10 MG/ML Inhalant Solution [Bronchodil]	DRON:00034402	102390
DRON:00069006	rimiterol 0.2 MG/ACTUAT Inhalant Solution [Pulmadil]	DRON:00041726	102394
DRON:00069007	metaproterenol 0.5 MG/ML Injectable Solution [Alupent]	DRON:00039763	102401
DRON:00069008	Chlorpheniramine 12 MG Extended Release Tablet [Piriton]	DRON:00044442	102444
DRON:00069009	diphenylpyraline 5 MG Extended Release Oral Capsule [Histryl Spansule]	DRON:00044758	102445
DRON:00069010	diphenylpyraline 2.5 MG Extended Release Oral Capsule [Histryl Pediatric Spansule]	DRON:00034410	102446
DRON:00069011	diphenylpyraline 5 MG Extended Release Oral Tablet [Lergoban]	DRON:00034411	102447
DRON:00069012	trimeprazine 10 MG Oral Tablet [Vallergan]	DRON:00036855	102451
DRON:00069013	triprolidine hydrochloride 2.5 MG Oral Tablet [Actidil]	DRON:00064682	102452
DRON:00069014	bromhexine 2 MG/ML Injectable Solution [Bisolvon]	DRON:00042168	102486
DRON:00069015	carbocysteine 375 MG Oral Tablet [Mucolex]	DRON:00035067	102487
DRON:00069016	isoaminile 8 MG/ML Oral Solution [Dimyril]	DRON:00053783	102493
DRON:00069017	triazulenone 1 MG Oral Tablet [Dormonoct]	DRON:00041436	102528
DRON:00069018	diazepam 2 MG Oral Capsule [Valium]	DRON:00044708	102530
DRON:00069019	diazepam 5 MG Oral Capsule [Valium]	DRON:00044709	102531
DRON:00069020	diazepam 5 MG Rectal Suppository [Valium]	DRON:00040508	102533
DRON:00069021	Amobarbital 100 MG Oral Tablet [Amytal Sodium]	DRON:00043885	102540
DRON:00069022	butriptyline 25 MG Oral Tablet [Evadyne]	DRON:00039626	102548
DRON:00069023	butriptyline 50 MG Oral Tablet [Evadyne]	DRON:00039627	102549
DRON:00069024	imipramine hydrochloride 10 MG Oral Tablet [Pramimil]	DRON:00057861	102550
DRON:00069025	imipramine hydrochloride 25 MG Oral Tablet [Pramimil]	DRON:00057851	102551
DRON:00069026	iprindole 30 MG Oral Tablet [Prondol]	DRON:00034422	102552
DRON:00069027	lofepramine 70 MG Oral Tablet [Gamanil]	DRON:00041056	102554
DRON:00069028	iproniazid 25 MG Oral Tablet [Marsilid]	DRON:00034423	102555
DRON:00069029	iproniazid 50 MG Oral Tablet [Marsilid]	DRON:00034424	102556
DRON:00069030	tryptophan 500 MG Oral Tablet [Optimax]	DRON:00046274	102560
DRON:00069031	dextroamphetamine 7.5 MG Extended Release Oral Capsule [Durophet]	DRON:00034425	102566
DRON:00069032	dextroamphetamine 12.5 MG Extended Release Oral Capsule [Durophet]	DRON:00034426	102567
DRON:00069033	dextroamphetamine 20 MG Extended Release Oral Capsule [Durophet]	DRON:00034427	102568
DRON:00069034	methylcellulose 400 MG Oral Tablet [Nilstim]	DRON:00034428	102573
DRON:00069035	mazindol 2 MG Oral Tablet [Teronac]	DRON:00035680	102577
DRON:00069036	domperidone 30 MG Rectal Suppository [Evoxin]	DRON:00034668	102578
DRON:00069037	metoclopramide 10 MG Oral Tablet [Metox brand of Metoclopramide]	DRON:00045467	102581
DRON:00069038	metoclopramide 10 MG Oral Tablet [Metramid]	DRON:00045467	102582
DRON:00069039	Metoclopramide 5 MG/ML Injectable Solution [Parmid]	DRON:00045470	102583
DRON:00069040	metoclopramide 15 MG Extended Release Oral Tablet [Gastrobid Continus]	DRON:00041550	102584
DRON:00069041	metoclopramide 30 MG Extended Release Oral Capsule [Gastromax]	DRON:00041482	102585
DRON:00069042	Metoclopramide 15 MG Extended Release Capsule [Maxolon SR]	DRON:00041435	102586
DRON:00069043	metoclopramide 15 MG Extended Release Oral Tablet [Gastrese-LA]	DRON:00041550	102587
DRON:00069044	metoclopramide 10 MG Oral Tablet [Gastroflux]	DRON:00045467	102588
DRON:00069045	thiethylperazine 6.33 MG Oral Tablet [Torecan]	DRON:00034431	102590
DRON:00069046	thiethylperazine 6.5 MG/ML Injectable Solution [Torecan]	DRON:00034432	102591
DRON:00069047	thiethylperazine 6.5 MG Rectal Suppository [Torecan]	DRON:00034433	102592
DRON:00069048	aspirin 300 MG Oral Tablet [Laboprin]	DRON:00036614	102597
DRON:00069049	aspirin 600 MG Oral Tablet [Paynocil]	DRON:00038648	102598
DRON:00069050	aspirin 324 MG Delayed Release Oral Tablet [Caprin]	DRON:00053785	102599
DRON:00069051	aspirin 500 MG Extended Release Oral Tablet [Levius]	DRON:00052899	102600
DRON:00069052	aspirin 600 MG Delayed Release Oral Tablet [Nu-Seals Aspirin]	DRON:00034434	102601
DRON:00069053	aspirin 600 MG Oral Tablet [Palaprin Forte]	DRON:00038648	102602
DRON:00069054	acetaminophen 24 MG/ML Oral Suspension [Calpol]	DRON:00041513	102604
DRON:00069055	acetaminophen 50 MG/ML Oral Suspension [Calpol Six Plus]	DRON:00041512	102605
DRON:00069056	morphine 64 MG/ML Injectable Solution [Duromorph]	DRON:00053786	102639
DRON:00069057	Buprenorphine 0.3 MG/ML Injectable Solution [Subutex]	DRON:00037959	102650
DRON:00069058	Levorphanol 1.5 MG Oral Tablet [Dromoran]	DRON:00034437	102656
DRON:00069059	meperidine hydrochloride 50 MG/ML Injectable Solution [pethilorfan]	DRON:00059337	102659
DRON:00069060	pizotyline 1.5 MG Oral Tablet [Sanomigran]	DRON:00041450	102662
DRON:00069061	phenobarbital 15 MG Oral Tablet [Luminal]	DRON:00045742	102666
DRON:00069062	phenobarbital 30 MG Oral Tablet [Luminal]	DRON:00045744	102667
DRON:00069063	phenobarbital 60 MG Oral Tablet [Luminal]	DRON:00035800	102668
DRON:00069064	Acetylcysteine 200 MG/ML Injectable Solution [Parvolex]	DRON:00053251	102678
DRON:00069065	penicillin G 229 MG/ML Injectable Suspension [Penidural-LA]	DRON:00053787	102690
DRON:00069066	phenethicillin 250 MG Oral Capsule [Broxil]	DRON:00034442	102693
DRON:00069067	penicillin V potassium 125 MG Oral Tablet [V-Cil-K]	DRON:00057802	102700
DRON:00069068	amoxicillin 250 MG Oral Capsule [Rimoxallin]	DRON:00043898	102709
DRON:00069069	amoxicillin 500 MG Oral Capsule [Rimoxallin]	DRON:00043902	102710
DRON:00069070	amoxicillin 25 MG/ML / clavulanate 12.5 MG/ML Oral Suspension [Augmentin]	DRON:00050232	102712
DRON:00069071	ampicillin 250 MG Oral Capsule [Vidopen]	DRON:00046376	102714
DRON:00069072	ampicillin 125 MG Oral Tablet [Penbritin]	DRON:00037766	102717
DRON:00069073	pivampicillin 35 MG/ML Oral Suspension [Pondocillin]	DRON:00039447	102731
DRON:00069074	talampicillin 250 MG Oral Tablet [Talpen]	DRON:00034446	102736
DRON:00069075	ticarcillin 385 MG/ML Injectable Solution [Ticar]	DRON:00046219	102740
DRON:00069076	cephalexin 125 MG Chewable Tablet [Keflex-C]	DRON:00053788	102748
DRON:00069077	cephalexin 250 MG Chewable Tablet [Keflex-C]	DRON:00053789	102749
DRON:00069078	cephalothin 1 MG/ML Injectable Solution [Keflin]	DRON:00038382	102750
DRON:00069079	cefamandole 250 MG/ML Injectable Solution [Kefadol]	DRON:00038384	102751
DRON:00069080	cefamandole 285 MG/ML Injectable Solution [Kefadol]	DRON:00044331	102752
DRON:00069081	Doxycycline 100 MG Oral Tablet [Doxatet]	DRON:00035503	102760
DRON:00069082	oxytetracycline 250 MG Oral Tablet [Chemocycline]	DRON:00045669	102763
DRON:00069083	oxytetracycline 250 MG Oral Tablet [Galenomycin]	DRON:00045669	102764
DRON:00069084	Gentamicin Sulfate (USP) 80 MG/ML Injectable Solution [Cidomycin]	DRON:00039718	102772
DRON:00069085	Gentamicin Sulfate (USP) 10 MG/ML Injectable Solution [Genticin]	DRON:00038064	102773
DRON:00069086	Gentamicin Sulfate (USP) 1 MG/ML Injectable Solution [Genticin]	DRON:00038388	102774
DRON:00069087	Gentamicin Sulfate (USP) 40 MG/ML Injectable Solution [Lugacin]	DRON:00046470	102775
DRON:00069088	kanamycin 250 MG/ML Injectable Solution [Kannasyn]	DRON:00038062	102777
DRON:00069089	erythromycin 25 MG/ML Oral Suspension [Erythroped PI SF]	DRON:00046458	102778
DRON:00069090	erythromycin stearate 50 MG/ML Oral Suspension [Erythroped SF]	DRON:00046459	102779
DRON:00069091	erythromycin estolate 250 MG Oral Tablet [Erythrolar]	DRON:00044838	102780
DRON:00069092	erythromycin 500 MG Oral Tablet [Erythrolar]	DRON:00035516	102781
DRON:00069093	erythromycin stearate 50 MG/ML Oral Suspension [Erythrolar]	DRON:00046459	102782
DRON:00069094	erythromycin 125 MG Delayed Release Oral Capsule [Erymax Sprinkle]	DRON:00044828	102783
DRON:00069095	lincomycin 500 MG Oral Capsule [Lincocin]	DRON:00045310	102785
DRON:00069096	lincomycin 300 MG/ML Injectable Solution [Lincocin]	DRON:00038070	102787
DRON:00069097	sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Fectrim]	DRON:00035971	102789
DRON:00069098	sulfamethoxazole 267 MG/ML / trimethoprim 53.3 MG/ML Injectable Solution [Septrin]	DRON:00039686	102790
DRON:00069099	sulfamethoxazole 100 MG / trimethoprim 20 MG Oral Tablet [Septrin]	DRON:00035175	102791
DRON:00069100	ethambutol 200 MG / isoniazid 100 MG Oral Tablet [Mynah brand of ethambutol hydrochloride-isoniazid]	DRON:00051965	102804
DRON:00069101	ethambutol 365 MG / isoniazid 100 MG Oral Tablet [Mynah brand of ethambutol hydrochloride-isoniazid]	DRON:00051964	102805
DRON:00069102	Rifampin 3 MG/ML Injectable Solution [Rifadin]	DRON:00054762	102807
DRON:00069103	noxythiolin 125 MG/ML Irrigation Solution [Noxyflex-S]	DRON:00053790	102810
DRON:00069104	noxythiolin 25 MG/ML Irrigation Solution [Noxyflex-S]	DRON:00053791	102811
DRON:00069105	Ribavirin 20 MG/ML Inhalant Solution [Virazid]	DRON:00045931	102817
DRON:00069106	amodiaquine 200 MG Oral Tablet [Camoquine]	DRON:00034461	102819
DRON:00069107	piperazine 500 MG Oral Tablet [antepar]	DRON:00034463	102824
DRON:00069108	diethylcarbamazine citrate 50 MG Oral Tablet [Banocide]	DRON:00036697	102834
DRON:00069109	glyburide 5 MG Oral Tablet [Daonil]	DRON:00045000	102845
DRON:00069110	glymidine 500 MG Oral Tablet [Gondafon]	DRON:00034465	102849
DRON:00069111	prednisolone 16 MG/ML Injectable Solution [Codelsol]	DRON:00034468	102857
DRON:00069112	prednisolone 5 MG Oral Tablet [Stintisone]	DRON:00035823	102858
DRON:00069113	Estradiol 1 MG/ML Injectable Solution [Benztrone]	DRON:00044841	102861
DRON:00069114	tibolone 2.5 MG Oral Tablet [Livial]	DRON:00035104	102865
DRON:00069115	methyltestosterone 5 MG Oral Tablet [Virormone]	DRON:00034473	102882
DRON:00069116	methyltestosterone 10 MG Oral Tablet [Virormone]	DRON:00035725	102883
DRON:00069117	methyltestosterone 25 MG Oral Tablet [Virormone]	DRON:00046519	102884
DRON:00069118	nandrolone 25 MG/ML Injectable Solution [Durabolin]	DRON:00046701	102892
DRON:00069119	cosyntropin 1 MG/ML Injectable Solution [Synacthen Depot]	DRON:00053792	102897
DRON:00069120	dinoprost 5 MG/ML Injectable Solution [Minprostin F2 Alpha]	DRON:00044753	102908
DRON:00069121	dienestrol 0.25 MG/ML Topical Cream [Hormofemin]	DRON:00053793	102913
DRON:00069122	clotrimazole 100 MG/ML Vaginal Cream [Canesten VC]	DRON:00034751	102916
DRON:00069123	isoconazole 300 MG Vaginal Tablet [Travogyn]	DRON:00041504	102917
DRON:00069124	natamycin 20 MG/ML Topical Cream [Pimafucin]	DRON:00035164	102919
DRON:00069125	Nonoxynol-9 0.05 MG/MG Vaginal Suppository [Genexol]	DRON:00034757	102929
DRON:00069126	Nonoxynol-9 0.05 MG/MG Vaginal Suppository [Rendells]	DRON:00034757	102930
DRON:00069127	diphenylpyraline 5 MG / Phenylpropanolamine 50 MG Extended Release Capsule [Eskornade]	DRON:00041264	102934
DRON:00069128	terodiline 12.5 MG Oral Tablet [Micturin]	DRON:00034483	102937
DRON:00069129	terodiline 25 MG Oral Tablet [Micturin]	DRON:00051023	102938
DRON:00069130	cyclophosphamide 10 MG Oral Tablet [Endoxana]	DRON:00051418	102948
DRON:00069131	ethoglucid 1130 MG/ML Injectable Solution [Epodyl]	DRON:00034484	102949
DRON:00069132	methotrexate 10 MG Oral Tablet [Emtexate]	DRON:00034770	102953
DRON:00069133	methotrexate 2.5 MG/ML Injectable Solution [Emtexate]	DRON:00046699	102954
DRON:00069134	Methotrexate 25 MG/ML Injectable Solution [Emtexate]	DRON:00045444	102955
DRON:00069135	methotrexate 100 MG/ML Injectable Solution [Emtexate]	DRON:00034771	102956
DRON:00069136	Methotrexate 50 MG/ML Injectable Solution [Emtexate]	DRON:00045442	102957
DRON:00069137	methotrexate 2.5 MG/ML Injectable Solution [Maxtrex]	DRON:00046699	102958
DRON:00069138	Methotrexate 25 MG/ML Injectable Solution [Maxtrex]	DRON:00045444	102959
DRON:00069139	Cisplatin 1 MG/ML Injectable Solution [Neoplatin]	DRON:00044487	102963
DRON:00069140	Cisplatin 25 MG/ML Injectable Solution [Platinex]	DRON:00034485	102964
DRON:00069141	Cisplatin 0.5 MG/ML Injectable Solution [Platosin]	DRON:00046649	102965
DRON:00069142	Cisplatin 1 MG/ML Injectable Solution [Platosin]	DRON:00044487	102967
DRON:00069143	Antilymphocyte Immunoglobulin 50 MG/ML Injectable Solution [Pressimmune]	DRON:00053795	102970
DRON:00069144	medroxyprogesterone 80 MG/ML Oral Suspension [Provera]	DRON:00035023	102974
DRON:00069145	cyproterone 50 MG Oral Tablet [Cyprostat]	DRON:00036735	102979
DRON:00069146	tamoxifen 10 MG Oral Tablet [Noltam]	DRON:00035890	102980
DRON:00069147	tamoxifen 20 MG Oral Tablet [Noltam]	DRON:00046109	102981
DRON:00069148	ferrous glycine sulfate 225 MG Oral Tablet [Kelferon]	DRON:00034489	102983
DRON:00069149	polysaccharide iron complex 50 MG Oral Tablet [Niferex]	DRON:00036288	102991
DRON:00069150	Iron-Dextran Complex 50 MG/ML Injectable Solution [Imferon]	DRON:00045230	103009
DRON:00069151	Vitamin B 12 1 MG/ML Injectable Solution [Hepacon B12]	DRON:00044603	103011
DRON:00069152	Vitamin B 12 0.5 MG/ML Injectable Solution [Hepacon]	DRON:00034493	103014
DRON:00069153	Leucovorin 3 MG/ML Injectable Solution [Refolinon]	DRON:00041307	103017
DRON:00069154	Leucovorin 10 MG/ML Injectable Solution [Rescufolin]	DRON:00045295	103018
DRON:00069155	potassium chloride 8 MEQ Extended Release Oral Tablet [Leo-K]	DRON:00045825	103021
DRON:00069156	potassium chloride 8 MEQ Extended Release Oral Tablet [Nu-K]	DRON:00045825	103022
DRON:00069157	Dextran 40 100 MG/ML Injectable Solution [Rheomacrodex]	DRON:00038813	103034
DRON:00069158	dextran 110 60 MG/ML Injectable Solution [Dextraven-110]	DRON:00053796	103035
DRON:00069159	calcium gluconate 9.3 MG/ML Injectable Solution [Calcium-Sandoz]	DRON:00053797	103070
DRON:00069160	aluminum hydroxide 475 MG Oral Capsule [Alu-Cap]	DRON:00038565	103073
DRON:00069161	calcium carbonate 420 MG Oral Tablet [Titralac]	DRON:00036106	103074
DRON:00069162	Sodium Fluoride 0.5 MG Oral Tablet [FluoriGard]	DRON:00047888	103078
DRON:00069163	sodium fluoride 1 MG Oral Tablet [FluoriGard RMT]	DRON:00046037	103079
DRON:00069164	sodium fluoride 0.25 MG Oral Tablet [En-De-Kay Fluo]	DRON:00051904	103080
DRON:00069165	sodium fluoride 1 MG Oral Tablet [Zymafluor]	DRON:00046037	103081
DRON:00069166	thiamine 3 MG Oral Tablet [Benerva]	DRON:00035179	103086
DRON:00069167	thiamine 10 MG Oral Tablet [Benerva]	DRON:00046579	103087
DRON:00069168	alfacalcidol 0.005 MG/ML Oral Solution [One-Alpha]	DRON:00053798	103100
DRON:00069169	alfacalcidol 0.0002 MG/ML Oral Solution [One-Alpha]	DRON:00039519	103102
DRON:00069170	Ergocalciferol 0.015 MG Oral Tablet [Chocovite]	DRON:00053799	103106
DRON:00069171	Ergocalciferol 10 MG/ML Oral Solution [Sterogyl]	DRON:00050733	103107
DRON:00069172	dihydrotachysterol 0.2 MG Oral Tablet [Tachyrol]	DRON:00035491	103108
DRON:00069173	Vitamin E 3 MG Oral Tablet [Ephynal]	DRON:00053800	103109
DRON:00069174	Vitamin E 10 MG Oral Tablet [Ephynal]	DRON:00053801	103110
DRON:00069175	Vitamin E 50 MG Oral Tablet [Ephynal]	DRON:00047857	103111
DRON:00069176	Vitamin E 200 MG Oral Tablet [Ephynal]	DRON:00047858	103112
DRON:00069177	Vitamin E 100 MG/ML Oral Suspension [Ephynal]	DRON:00034802	103113
DRON:00069178	menadiol 10 MG/ML Injectable Solution [Synkavite]	DRON:00038702	103114
DRON:00069179	etodolac 200 MG Oral Tablet [Ramodar]	DRON:00034805	103148
DRON:00069180	indomethacin 25 MG Oral Capsule [Indoflex]	DRON:00035622	103150
DRON:00069181	indomethacin 25 MG Oral Capsule [Indolar]	DRON:00035622	103151
DRON:00069182	indomethacin 50 MG Oral Capsule [Indolar]	DRON:00035623	103152
DRON:00069183	indomethacin 100 MG Rectal Suppository [Indolar]	DRON:00036802	103153
DRON:00069184	indomethacin 25 MG Oral Capsule [Mobilan]	DRON:00035622	103154
DRON:00069185	indomethacin 50 MG Oral Capsule [Mobilan]	DRON:00035623	103155
DRON:00069186	indomethacin 75 MG Extended Release Oral Capsule [Slo-Indo]	DRON:00045182	103156
DRON:00069187	phenylbutazone 200 MG Oral Tablet [Butacote]	DRON:00034812	103157
DRON:00069188	phenylbutazone 100 MG Oral Tablet [Butazolidin]	DRON:00045762	103158
DRON:00069189	phenylbutazone 200 MG Oral Tablet [Butazolidin]	DRON:00034812	103159
DRON:00069190	tolmetin 400 MG Oral Capsule [Tolectin DS]	DRON:00035942	103161
DRON:00069191	Dexamethasone 4 MG/ML Injectable Solution [Oradexon]	DRON:00044662	103163
DRON:00069192	prednisolone 16 MG/ML Injectable Solution [Codelson]	DRON:00034468	103166
DRON:00069193	pyridostigmine 1 MG/ML Injectable Solution [Mestinon]	DRON:00034497	103169
DRON:00069194	deoxyribonucleases 10 MG Delayed Release Oral Tablet [Deanase]	DRON:00053802	103172
DRON:00069195	framycetin 5 MG/ML Ophthalmic Solution [Soframycin]	DRON:00039531	103191
DRON:00069196	framycetin 0.005 MG/MG Ophthalmic Ointment [Soframycin]	DRON:00037083	103192
DRON:00069197	Gentamicin Sulfate (USP) 3 MG/ML Ophthalmic Solution [Cidomycin]	DRON:00044972	103193
DRON:00069198	propamidine isethionate 1 MG/ML Ophthalmic Solution [Brolene]	DRON:00058715	103201
DRON:00069199	sulfacetamide sodium 200 MG/ML Ophthalmic Solution [Albucid]	DRON:00062715	103202
DRON:00069200	sulfacetamide sodium 0.025 MG/MG Ophthalmic Ointment [Albucid]	DRON:00062569	103203
DRON:00069201	sulfacetamide sodium 0.06 MG/MG Ophthalmic Ointment [Albucid]	DRON:00062570	103204
DRON:00069202	betamethasone 1 MG/ML Ophthalmic Solution [Betnesol]	DRON:00040138	103212
DRON:00069203	betamethasone 1 MG/ML Ophthalmic Solution [Vista-methasone]	DRON:00040138	103213
DRON:00069204	clobetasone 1 MG/ML Ophthalmic Solution [Eumovate]	DRON:00034821	103214
DRON:00069205	oxyphenbutazone 0.1 MG/MG Ophthalmic Ointment [Tanderil]	DRON:00034823	103221
DRON:00069206	prednisolone 5 MG/ML Ophthalmic Solution [Predsol]	DRON:00045861	103223
DRON:00069207	cromolyn 0.04 MG/MG Ophthalmic Ointment [Opticrom]	DRON:00039335	103226
DRON:00069208	cromolyn sodium 20 MG/ML Ophthalmic Solution [Opticrom Aqueous]	DRON:00053840	103227
DRON:00069209	epinephrine 5 MG/ML / guanethidine 50 MG/ML Ophthalmic Solution [Ganda]	DRON:00034502	103236
