curie	label	parent	rxcui
DRON:00020412	Nystatin Topical Powder	DRON:00000005	244416
DRON:00020413	Triacetin Topical Solution	DRON:00000020	244418
DRON:00020414	Iodine Topical Solution	DRON:00000020	244664
DRON:00020415	Butylated Hydroxytoluene Crystals	DRON:00000005	244959
DRON:00020416	Bran Wafer	DRON:00000005	246839
DRON:00020417	Sodium Chloride Nasal Gel	DRON:00000015	248328
DRON:00020418	Bee pollen Oral Tablet	DRON:00000022	259690
DRON:00020419	Choline / Glutamine / Inositol Oral Tablet	DRON:00000022	259721
DRON:00020420	Shark cartilage extract / Squalene Oral Capsule	DRON:00000026	259734
DRON:00020421	Estradiol Transdermal Patch	DRON:00000005	284732
DRON:00020422	Benzocaine Topical Cream	DRON:00000017	308670
DRON:00020423	Benzocaine / resorcinol Topical Cream	DRON:00000017	308676
DRON:00020424	Castor Oil / Peruvian balsam Topical Spray	DRON:00000005	309038
DRON:00020425	Coal Tar / Salicylic Acid Topical Cream	DRON:00000017	309404
DRON:00020426	Lactate Topical Cream	DRON:00000017	311255
DRON:00020427	magnesium citrate Oral Solution	DRON:00000020	311424
DRON:00020428	Menthol Topical Gel	DRON:00000015	311514
DRON:00020429	Menthol / methyl salicylate Topical Gel	DRON:00000015	311515
DRON:00020430	Salicylic Acid Topical Gel	DRON:00000015	312895
DRON:00020431	Sodium Chloride Nasal Solution	DRON:00000020	313019
DRON:00020432	Talc Topical Powder	DRON:00000005	313192
DRON:00020433	Vitamin E Topical Oil	DRON:00000005	313725
DRON:00020434	Menthol / methyl salicylate Topical Cream	DRON:00000017	314003
DRON:00020435	Polyvinyl Alcohol Ophthalmic Solution	DRON:00000020	347786
DRON:00020436	Nitrogen / Oxygen Gas for Inhalation	DRON:00000005	348051
DRON:00020437	Carbon Dioxide / Oxygen Gas for Inhalation	DRON:00000005	348059
DRON:00020438	Helium / Nitrogen / Oxygen Gas for Inhalation	DRON:00000005	348060
DRON:00020439	Carbon Dioxide / Nitrogen / Oxygen Gas for Inhalation	DRON:00000005	348062
DRON:00020440	Helium / Oxygen Gas for Inhalation	DRON:00000005	348063
DRON:00020441	Vitamin B 12 Oral Solution	DRON:00000020	348170
DRON:00020442	Zinc Oxide Topical Powder	DRON:00000005	360238
DRON:00020443	fluticasone Inhalant Solution	DRON:00000020	361833
DRON:00020444	fluticasone Inhalant Powder	DRON:00000005	361834
DRON:00020445	Albuterol Inhalant Solution	DRON:00000020	361842
DRON:00020446	Hexachlorophene Topical Cream	DRON:00000017	362404
DRON:00020447	Tromethamine Injectable Solution	DRON:00000020	362853
DRON:00020448	Calcifediol Oral Capsule	DRON:00000026	366196
DRON:00020449	Petrolatum Topical Ointment	DRON:00000019	367375
DRON:00020450	Acetaminophen Oral Tablet	DRON:00000022	369097
DRON:00020451	Primidone Oral Tablet	DRON:00000022	369489
DRON:00020452	Zinc Gluconate Oral Tablet	DRON:00000022	370490
DRON:00020453	Zinc Sulfate Oral Capsule	DRON:00000026	370491
DRON:00020454	Thiamine Injectable Solution	DRON:00000020	370492
DRON:00020455	Salicylic Acid Medicated Bar Soap	DRON:00000005	370493
DRON:00020456	Dihematoporphyrin Ether Injectable Solution	DRON:00000020	370494
DRON:00020457	Doxycycline Injectable Solution	DRON:00000020	370495
DRON:00020458	Carmustine Injectable Solution	DRON:00000020	370496
DRON:00020459	Ipratropium Nasal Spray	DRON:00000005	370497
DRON:00020460	cupric chloride Injectable Solution	DRON:00000020	370498
DRON:00020461	Streptozocin Injectable Solution	DRON:00000020	370499
DRON:00020462	Chloramphenicol Injectable Solution	DRON:00000020	370500
DRON:00020463	abacavir Oral Solution	DRON:00000020	370502
DRON:00020464	abacavir Oral Tablet	DRON:00000022	370503
DRON:00020465	Acarbose Oral Tablet	DRON:00000022	370504
DRON:00020466	Acebutolol Oral Capsule	DRON:00000026	370505
DRON:00020467	Acetaminophen Oral Solution	DRON:00000020	370506
DRON:00020468	Acetaminophen Rectal Suppository	DRON:00000005	370508
DRON:00020469	Acetaminophen Oral Suspension	DRON:00000021	370509
DRON:00020470	Acetaminophen Chewable Tablet	DRON:00000022	370510
DRON:00020471	Acetaminophen Oral Capsule	DRON:00000026	370511
DRON:00020472	Acetaminophen Extended Release Tablet	DRON:00000022	370512
DRON:00020473	Acetaminophen / butalbital Oral Capsule	DRON:00000026	370513
DRON:00020474	Acetaminophen / butalbital Oral Tablet	DRON:00000022	370514
DRON:00020475	Acetaminophen / Caffeine Oral Tablet	DRON:00000022	370515
DRON:00020476	Acetaminophen / Calcium Carbonate Oral Tablet	DRON:00000022	370516
DRON:00020477	Acetaminophen / Chlorpheniramine Oral Tablet	DRON:00000022	370517
DRON:00020478	Acetaminophen / Diphenhydramine Oral Tablet	DRON:00000022	370518
DRON:00020479	Acetaminophen / Diphenhydramine Oral Capsule	DRON:00000026	370519
DRON:00020480	Acetaminophen / Melatonin Oral Tablet	DRON:00000022	370520
DRON:00020481	Acetaminophen / pamabrom Oral Tablet	DRON:00000022	370521
DRON:00020482	Acetaminophen / phenyltoloxamine Oral Tablet	DRON:00000022	370522
DRON:00020483	Acetaminophen / phenyltoloxamine Oral Capsule	DRON:00000026	370523
DRON:00020484	Acetaminophen / Pyrilamine Oral Tablet	DRON:00000022	370524
DRON:00020485	Acetazolamide Oral Tablet	DRON:00000022	370525
DRON:00020486	Acetazolamide Extended Release Capsule	DRON:00000026	370526
DRON:00020487	Acetic Acid Irrigation Solution	DRON:00000020	370527
DRON:00020488	Acetic Acid Otic Solution	DRON:00000020	370528
DRON:00020489	Acetohexamide Oral Tablet	DRON:00000022	370529
DRON:00020490	acetohydroxamic acid Oral Tablet	DRON:00000022	370530
DRON:00020491	Acetylcholine Injectable Solution	DRON:00000020	370531
DRON:00020492	Acetylcysteine Oral Tablet	DRON:00000022	370532
DRON:00020493	Acitretin Oral Capsule	DRON:00000026	370533
DRON:00020494	Activated Charcoal Oral Tablet	DRON:00000022	370534
DRON:00020495	Activated Charcoal Oral Capsule	DRON:00000026	370535
DRON:00020496	Acyclovir Oral Capsule	DRON:00000026	370536
DRON:00020497	Acyclovir Oral Tablet	DRON:00000022	370537
DRON:00020498	Adrenal cortex extract Oral Tablet	DRON:00000022	370539
DRON:00020499	Albendazole Oral Tablet	DRON:00000022	370540
DRON:00020500	Albuterol Oral Tablet	DRON:00000022	370542
DRON:00020501	Albuterol Extended Release Tablet	DRON:00000022	370543
DRON:00020502	Alfalfa preparation Oral Tablet	DRON:00000022	370545
DRON:00020503	Alfentanil Injectable Solution	DRON:00000020	370546
DRON:00020504	Allopurinol Oral Tablet	DRON:00000022	370547
DRON:00020505	Alprazolam Oral Tablet	DRON:00000022	370548
DRON:00020506	Alprostadil Urethral Suppository	DRON:00000005	370549
DRON:00020507	Alprostadil Injectable Solution	DRON:00000020	370550
DRON:00020508	Altretamine Oral Capsule	DRON:00000026	370551
DRON:00020509	basic aluminum carbonate gel Oral Capsule	DRON:00000026	370552
DRON:00020510	basic aluminum carbonate gel Oral Tablet	DRON:00000022	370553
DRON:00020511	aluminum chloride Topical Solution	DRON:00000020	370554
DRON:00020512	Aluminum Hydroxide Oral Tablet	DRON:00000022	370555
DRON:00020513	Aluminum Hydroxide Oral Suspension	DRON:00000021	370556
DRON:00020514	Aluminum Hydroxide Oral Capsule	DRON:00000026	370557
DRON:00020515	Amantadine Oral Capsule	DRON:00000026	370558
DRON:00020516	Amantadine Oral Tablet	DRON:00000022	370559
DRON:00020517	Ambenonium Oral Tablet	DRON:00000022	370561
DRON:00020518	AMERICAN GINSENG ROOT Oral Capsule	DRON:00000026	370562
DRON:00020519	Amikacin Injectable Solution	DRON:00000020	370563
DRON:00020520	Amiloride Oral Tablet	DRON:00000022	370564
DRON:00020521	Aminoglutethimide Oral Tablet	DRON:00000022	370565
DRON:00020522	Aminolevulinic Acid Topical Solution	DRON:00000020	370567
DRON:00020523	Amiodarone Oral Tablet	DRON:00000022	370568
DRON:00020524	Amitriptyline Injectable Solution	DRON:00000020	370569
DRON:00020525	Amitriptyline Oral Tablet	DRON:00000022	370570
DRON:00020526	Amitriptyline / Chlordiazepoxide Oral Tablet	DRON:00000022	370571
DRON:00020527	Amitriptyline / Perphenazine Oral Tablet	DRON:00000022	370572
DRON:00020528	Amlodipine Oral Tablet	DRON:00000022	370573
DRON:00020529	Amobarbital / Secobarbital Oral Capsule	DRON:00000026	370574
DRON:00020530	Amoxapine Oral Tablet	DRON:00000022	370575
DRON:00020531	Amoxicillin Oral Suspension	DRON:00000021	370576
DRON:00020532	Amoxicillin Chewable Tablet	DRON:00000022	370577
DRON:00020533	Amoxicillin Oral Capsule	DRON:00000026	370578
DRON:00020534	Amoxicillin Oral Tablet	DRON:00000022	370579
DRON:00020535	Amphotericin B Oral Suspension	DRON:00000021	370583
DRON:00020536	Ampicillin Injectable Solution	DRON:00000020	370584
DRON:00020537	Ampicillin Oral Suspension	DRON:00000021	370585
DRON:00020538	Ampicillin Oral Capsule	DRON:00000026	370586
DRON:00020539	anastrozole Oral Tablet	DRON:00000022	370588
DRON:00020540	anisindione Oral Tablet	DRON:00000022	370589
DRON:00020541	Arginine Oral Capsule	DRON:00000026	370591
DRON:00020542	Arginine Oral Tablet	DRON:00000022	370592
DRON:00020543	Arginine / Calcium Carbonate Oral Capsule	DRON:00000026	370593
DRON:00020544	Ascorbic Acid Oral Capsule	DRON:00000026	370594
DRON:00020545	Ascorbic Acid / Bioflavonoids Extended Release Tablet	DRON:00000022	370595
DRON:00020546	Ascorbic Acid / Bioflavonoids Oral Tablet	DRON:00000022	370596
DRON:00020547	Ascorbic Acid Injectable Solution	DRON:00000020	370597
DRON:00020548	Ascorbic Acid Extended Release Capsule	DRON:00000026	370598
DRON:00020549	Ascorbic Acid Chewable Tablet	DRON:00000022	370599
DRON:00020550	Ascorbic Acid Extended Release Tablet	DRON:00000022	370600
DRON:00020551	Ascorbic Acid Oral Tablet	DRON:00000022	370601
DRON:00020552	Ascorbic Acid Wafer	DRON:00000005	370602
DRON:00020553	Ascorbic Acid Lozenge	DRON:00000005	370604
DRON:00020554	Ascorbic Acid / Rutin Oral Tablet	DRON:00000022	370605
DRON:00020555	Aspartic Acid Oral Capsule	DRON:00000026	370608
DRON:00020556	Aspirin Rectal Suppository	DRON:00000005	370609
DRON:00020557	Aspirin Oral Tablet	DRON:00000022	370611
DRON:00020558	Aspirin Extended Release Tablet	DRON:00000022	370612
DRON:00020559	Aspirin Chewable Tablet	DRON:00000022	370614
DRON:00020560	Aspirin / Caffeine Oral Tablet	DRON:00000022	370615
DRON:00020561	Astemizole Oral Tablet	DRON:00000022	370617
DRON:00020562	ASTRAGALUS ROOT Oral Capsule	DRON:00000026	370618
DRON:00020563	Atenolol Oral Tablet	DRON:00000022	370619
DRON:00020564	Atenolol / Chlorthalidone Oral Tablet	DRON:00000022	370620
DRON:00020565	atorvastatin Oral Tablet	DRON:00000022	370621
DRON:00020566	Atovaquone Oral Suspension	DRON:00000021	370622
DRON:00020567	Atovaquone / Proguanil Oral Tablet	DRON:00000022	370623
DRON:00020568	Atropine Injectable Solution	DRON:00000020	370624
DRON:00020569	Atropine Oral Tablet	DRON:00000022	370625
DRON:00020570	attapulgite Oral Suspension	DRON:00000021	370626
DRON:00020571	attapulgite Chewable Tablet	DRON:00000022	370627
DRON:00020572	attapulgite Oral Tablet	DRON:00000022	370628
DRON:00020573	Auranofin Oral Capsule	DRON:00000026	370629
DRON:00020574	Hyaluronidase Injectable Solution	DRON:00000020	370630
DRON:00020575	Hydralazine Oral Tablet	DRON:00000022	370631
DRON:00020576	Hydralazine Injectable Solution	DRON:00000020	370632
DRON:00020577	Hydralazine / Hydrochlorothiazide Oral Capsule	DRON:00000026	370633
DRON:00020578	Hydrochloric Acid Injectable Solution	DRON:00000020	370634
DRON:00020579	Hydrochlorothiazide Oral Tablet	DRON:00000022	370635
DRON:00020580	Hydrochlorothiazide Oral Capsule	DRON:00000026	370636
DRON:00020581	Hydrochlorothiazide Oral Solution	DRON:00000020	370637
DRON:00020582	Amiloride / Hydrochlorothiazide Oral Tablet	DRON:00000022	370638
DRON:00020583	Hydrochlorothiazide / Spironolactone Oral Tablet	DRON:00000022	370639
DRON:00020584	Hydrochlorothiazide / Triamterene Oral Capsule	DRON:00000026	370640
DRON:00020585	Acetaminophen / Hydrocodone Oral Tablet	DRON:00000022	370641
DRON:00020586	Acetaminophen / Hydrocodone Oral Capsule	DRON:00000026	370642
DRON:00020587	Aspirin / Hydrocodone Oral Tablet	DRON:00000022	370643
DRON:00020588	homatropine / Hydrocodone Oral Tablet	DRON:00000022	370644
DRON:00020589	Hydrocortisone Rectal Suppository	DRON:00000005	370645
DRON:00020590	Hydrocortisone Topical Solution	DRON:00000020	370646
DRON:00020591	Hydrocortisone Oral Suspension	DRON:00000021	370647
DRON:00020592	Hydrocortisone Injectable Solution	DRON:00000020	370648
DRON:00020593	Hydrocortisone Oral Tablet	DRON:00000022	370649
DRON:00020594	Hydroflumethiazide Oral Tablet	DRON:00000022	370650
DRON:00020595	Hydrogen Peroxide Mucous Membrane Topical Solution	DRON:00000020	370651
DRON:00020596	Hydromorphone Injectable Solution	DRON:00000020	370652
DRON:00020597	Hydromorphone Oral Solution	DRON:00000020	370653
DRON:00020598	Hydromorphone Oral Tablet	DRON:00000022	370654
DRON:00020599	Hydromorphone Rectal Suppository	DRON:00000005	370655
DRON:00020600	Hydroxychloroquine Oral Tablet	DRON:00000022	370656
DRON:00020601	hydroxyurea Oral Tablet	DRON:00000022	370657
DRON:00020602	hydroxyurea Oral Capsule	DRON:00000026	370658
DRON:00020603	Hydroxyzine Oral Tablet	DRON:00000022	370659
DRON:00020604	Hydroxyzine Injectable Solution	DRON:00000020	370661
DRON:00020605	Hydroxyzine Oral Capsule	DRON:00000026	370662
DRON:00020606	Hydroxyzine Oral Suspension	DRON:00000021	370663
DRON:00020607	HYMENOPTERA ALLERGENIC EXTRACT Injectable Solution	DRON:00000020	370664
DRON:00020608	Hyoscyamine Disintegrating Tablet	DRON:00000022	370665
DRON:00020609	Hyoscyamine Oral Tablet	DRON:00000022	370666
DRON:00020610	Hyoscyamine Sublingual Tablet	DRON:00000022	370667
DRON:00020611	Hyoscyamine Injectable Solution	DRON:00000020	370669
DRON:00020612	Hyoscyamine / Phenobarbital Oral Tablet	DRON:00000022	370671
DRON:00020613	Ibuprofen Oral Suspension	DRON:00000021	370672
DRON:00020614	Ibuprofen Chewable Tablet	DRON:00000022	370673
DRON:00020615	Ibuprofen Oral Tablet	DRON:00000022	370674
DRON:00020616	Ibuprofen Oral Capsule	DRON:00000026	370675
DRON:00020617	Hydrocodone / Ibuprofen Oral Tablet	DRON:00000022	370676
DRON:00020618	Ibuprofen / Pseudoephedrine Oral Suspension	DRON:00000021	370677
DRON:00020619	Ibuprofen / Pseudoephedrine Oral Tablet	DRON:00000022	370678
DRON:00020620	Imipramine Oral Tablet	DRON:00000022	370679
DRON:00020621	Imipramine Oral Capsule	DRON:00000026	370680
DRON:00020622	Indapamide Oral Tablet	DRON:00000022	370682
DRON:00020623	Indigotindisulfonate Injectable Solution	DRON:00000020	370683
DRON:00020624	Indinavir Oral Capsule	DRON:00000026	370684
DRON:00020625	Indomethacin Oral Suspension	DRON:00000021	370686
DRON:00020626	Indomethacin Oral Capsule	DRON:00000026	370687
DRON:00020627	Indomethacin Rectal Suppository	DRON:00000005	370688
DRON:00020628	Indomethacin Extended Release Capsule	DRON:00000026	370689
DRON:00020629	Inositol / Phytic Acid Oral Capsule	DRON:00000026	370691
DRON:00020630	Interferon Alfa-2b Injectable Solution	DRON:00000020	370692
DRON:00020631	interferon alfacon-1 Injectable Solution	DRON:00000020	370694
DRON:00020632	iocetamic acid Oral Tablet	DRON:00000022	370696
DRON:00020633	Iodine Oral Tablet	DRON:00000022	370697
DRON:00020634	Iodoquinol Oral Tablet	DRON:00000022	370698
DRON:00020635	Iopamidol Injectable Solution	DRON:00000020	370700
DRON:00020636	Ipecac Oral Tablet	DRON:00000022	370702
DRON:00020637	irbesartan Oral Tablet	DRON:00000022	370704
DRON:00020638	Hydrochlorothiazide / irbesartan Oral Tablet	DRON:00000022	370705
DRON:00020639	Iron-Dextran Complex Injectable Solution	DRON:00000020	370706
DRON:00020640	Ascorbic Acid / Iron Carbonyl Oral Tablet	DRON:00000022	370710
DRON:00020641	Isocarboxazid Oral Tablet	DRON:00000022	370712
DRON:00020642	Isoleucine Oral Capsule	DRON:00000026	370713
DRON:00020643	isometheptene Oral Tablet	DRON:00000022	370714
DRON:00020644	isoniazid Injectable Solution	DRON:00000020	370715
DRON:00020645	isoniazid Oral Tablet	DRON:00000022	370716
DRON:00020646	Isoproterenol Injectable Solution	DRON:00000020	370718
DRON:00020647	Isosorbide Oral Solution	DRON:00000020	370719
DRON:00020648	iso-sulfan blue Injectable Solution	DRON:00000020	370720
DRON:00020649	Isotretinoin Oral Capsule	DRON:00000026	370721
DRON:00020650	Isoxsuprine Oral Tablet	DRON:00000022	370722
DRON:00020651	Isradipine Extended Release Tablet	DRON:00000022	370723
DRON:00020652	Isradipine Oral Capsule	DRON:00000026	370724
DRON:00020653	Itraconazole Oral Capsule	DRON:00000026	370725
DRON:00020654	Ivermectin Oral Tablet	DRON:00000022	370726
DRON:00020655	Juniper extract Oral Capsule	DRON:00000026	370727
DRON:00020656	Kanamycin Injectable Solution	DRON:00000020	370728
DRON:00020657	Kanamycin Oral Capsule	DRON:00000026	370729
DRON:00020658	KAVA ROOT Oral Capsule	DRON:00000026	370730
DRON:00020659	KAVA ROOT Oral Solution	DRON:00000020	370731
DRON:00020660	Kava preparation Oral Capsule	DRON:00000026	370732
DRON:00020661	Acetaminophen / Scopolamine Oral Solution	DRON:00000020	370733
DRON:00020662	Acetaminophen / Scopolamine Oral Tablet	DRON:00000022	370734
DRON:00020663	ambroxol-theophylline-7-acetate Oral Tablet	DRON:00000022	370736
DRON:00020664	Acebutolol Oral Tablet	DRON:00000022	370737
DRON:00020665	Acebutolol / Hydrochlorothiazide Oral Tablet	DRON:00000022	370738
DRON:00020666	aceclofenac Oral Tablet	DRON:00000022	370739
DRON:00020667	acemetacin Oral Capsule	DRON:00000026	370740
DRON:00020668	acemetacin Oral Tablet	DRON:00000022	370741
DRON:00020669	acemetacin Extended Release Tablet	DRON:00000022	370742
DRON:00020670	Acenocoumarol Oral Tablet	DRON:00000022	370743
DRON:00020671	Acetaminophen Disintegrating Tablet	DRON:00000022	370744
DRON:00020672	Acetaminophen Granules	DRON:00000005	370745
DRON:00020673	Acetaminophen Wafer	DRON:00000005	370747
DRON:00020674	Acetaminophen / Codeine Oral Capsule	DRON:00000026	370748
DRON:00020675	Acetaminophen / Codeine Chewable Tablet	DRON:00000022	370749
DRON:00020676	Acetaminophen / Codeine Oral Solution	DRON:00000020	370751
DRON:00020677	Acetaminophen / Codeine Oral Suspension	DRON:00000021	370752
DRON:00020678	Acetaminophen / Codeine Oral Tablet	DRON:00000022	370754
DRON:00020679	Acetaminophen / Dextromethorphan Oral Capsule	DRON:00000026	370755
DRON:00020680	Acetaminophen / Dextromethorphan Oral Solution	DRON:00000020	370756
DRON:00020681	Acetaminophen / Dextromethorphan Oral Tablet	DRON:00000022	370757
DRON:00020682	Acetaminophen / Hydrocodone Oral Solution	DRON:00000020	370759
DRON:00020683	Acetaminophen / pamabrom Extended Release Tablet	DRON:00000022	370760
DRON:00020684	Acetaminophen / Caffeine Oral Capsule	DRON:00000026	370761
DRON:00020685	Acetaminophen / Chlormezanone Oral Tablet	DRON:00000022	370762
DRON:00020686	Acetaminophen / dihydrocodeine Oral Tablet	DRON:00000022	370763
DRON:00020687	Acetaminophen / Dipyrone Oral Solution	DRON:00000020	370764
DRON:00020688	Acetaminophen / Dipyrone Oral Tablet	DRON:00000022	370765
DRON:00020689	Acetaminophen / Metoclopramide Oral Tablet	DRON:00000022	370767
DRON:00020690	Acetaminophen / Phenobarbital Oral Tablet	DRON:00000022	370768
DRON:00020691	Acetaminophen / salicylamide Oral Capsule	DRON:00000026	370770
DRON:00020692	Acetaminophen / salicylamide Oral Tablet	DRON:00000022	370771
DRON:00020693	Acetic Acid / aluminum acetate Otic Solution	DRON:00000020	370772
DRON:00020694	acetophenazine Oral Tablet	DRON:00000022	370773
DRON:00020695	Acetylcarnitine Oral Tablet	DRON:00000022	370775
DRON:00020696	Acetylcysteine Lozenge	DRON:00000005	370777
DRON:00020697	acrivastine / Pseudoephedrine Oral Capsule	DRON:00000026	370778
DRON:00020698	acrivastine Oral Capsule	DRON:00000026	370779
DRON:00020699	acrivastine Oral Tablet	DRON:00000022	370780
DRON:00020700	Acyclovir Ophthalmic Solution	DRON:00000020	370781
DRON:00020701	Acyclovir Oral Suspension	DRON:00000021	370782
DRON:00020702	S-Adenosylmethionine Oral Tablet	DRON:00000022	370784
DRON:00020703	Adenosine Triphosphate Oral Capsule	DRON:00000026	370785
DRON:00020704	Alanine Oral Capsule	DRON:00000026	370786
DRON:00020705	Albendazole Chewable Tablet	DRON:00000022	370787
DRON:00020706	Albendazole Oral Suspension	DRON:00000021	370788
DRON:00020707	Albuterol Inhalant Powder	DRON:00000005	370789
DRON:00020708	Albuterol Injectable Solution	DRON:00000020	370790
DRON:00020709	Albuterol / Beclomethasone Inhalant Powder	DRON:00000005	370791
DRON:00020710	Alcuronium Injectable Solution	DRON:00000020	370793
DRON:00020711	Alfacalcidol Oral Capsule	DRON:00000026	370794
DRON:00020712	Alfacalcidol Oral Solution	DRON:00000020	370795
DRON:00020713	ALFALFA OIL Oral Tablet	DRON:00000022	370796
DRON:00020714	alfuzosin Oral Tablet	DRON:00000022	370797
